date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:20:03	36978/36978	---M-Z	200	added ('OK')	application/javascript	etag:%229072-5df2e8152a6c3-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/alertifyjs/build/alertify.min.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/alertifyjs/build/alertify.min.js	(from https://themesdesign.in/symox-node/layouts/extended-notifications.html)
13:20:03	1020/1020	---M-Z	200	added ('OK')	application/javascript	etag:%223fc-5df2e81520a82-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/notification.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/notification.init.js	(from https://themesdesign.in/symox-node/layouts/extended-notifications.html)
13:20:04	320/320	---M-Z	200	added ('OK')	application/javascript	etag:%22140-5df2e8151eb42-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/form-validation.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/form-validation.init.js	(from https://themesdesign.in/symox-node/layouts/form-validation.html)
13:20:04	8721/8721	---M-Z	200	added ('OK')	text/css	etag:%222211-5df2e81526843-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/@simonwep/pickr/themes/classic.min.css	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/@simonwep/pickr/themes/classic.min.css	(from https://themesdesign.in/symox-node/layouts/form-advanced.html)
13:20:04	8783/8783	---M-Z	200	added ('OK')	text/css	etag:%22224f-5df2e81526843-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/@simonwep/pickr/themes/monolith.min.css	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/@simonwep/pickr/themes/monolith.min.css	(from https://themesdesign.in/symox-node/layouts/form-advanced.html)
13:20:05	8858/8858	---M-Z	200	added ('OK')	text/css	etag:%22229a-5df2e81526843-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/@simonwep/pickr/themes/nano.min.css	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/@simonwep/pickr/themes/nano.min.css	(from https://themesdesign.in/symox-node/layouts/form-advanced.html)
13:20:05	24261/24261	---M-Z	200	added ('OK')	application/javascript	etag:%225ec5-5df2e81526843-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/@simonwep/pickr/pickr.min.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/@simonwep/pickr/pickr.min.js	(from https://themesdesign.in/symox-node/layouts/form-advanced.html)
13:20:05	72227/72227	---M-Z	200	added ('OK')	application/javascript	etag:%2211a23-5df2e81526843-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/@simonwep/pickr/pickr.es5.min.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/@simonwep/pickr/pickr.es5.min.js	(from https://themesdesign.in/symox-node/layouts/form-advanced.html)
13:20:05	3193/3193	---M-Z	200	added ('OK')	application/javascript	etag:%22c79-5df2e8151eb42-gzip%22	https://themesdesign.in/symox-node/layouts/assets/js/pages/form-advanced.init.js	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/js/pages/form-advanced.init.js	(from https://themesdesign.in/symox-node/layouts/form-advanced.html)
13:20:06	9020/9020	---M-Z	200	added ('OK')	text/css	etag:%22233c-5df2e81570bc3-gzip%22	https://themesdesign.in/symox-node/layouts/assets/libs/quill/quill.core.css	D:/cinema-online-admin/themesdesign.in/symox-node/layouts/assets/libs/quill/quill.core.css	(from https://themesdesign.in/symox-node/layouts/form-editors.html)
